Code,Name,LegalName,Addreess,Telephone
35744023,"ТОВ ""АГЕНТСТВО ІНФОРМАЦІЇ І РЕКЛАМИ ""ПРАВДА"" ","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АГЕНТСТВО ІНФОРМАЦІЇ І РЕКЛАМИ ""ПРАВДА"" ","01135, м.Київ, Шевченківський район, ВУЛИЦЯ ДМИТРІВСЬКА, будинок 96/98, квартира 2",+38080445940565
20307539,"ТОВ АГЕНТСТВО ""КЛАС""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ АГЕНТСТВО ""КЛАС""","49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ПЛОЩА ТРОЇЦЬКА, будинок 5-А",+380562320430
33326403,"ТОВ ""А.К.Н.""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АГЕНТСТВО""КРИМСЬКІ НОВИНИ""","01001, м.Київ, Шевченківський район, ВУЛИЦЯ МИХАЙЛІВСЬКА, будинок 2, офіс 34",
33117552,"ТОВ ""АГЕНТСТВО ""МЕДІА-СТИЛЬ-АС""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АГЕНТСТВО ""МЕДІА-СТИЛЬ-АС""","99040, м.Севастополь, Ленінський район,  ВУЛ.М. ГЕЛОВАНІ, будинок 6, квартира 23",+38080509873956
36299802,"ПП ""АВІР""","ПРИВАТНЕ ПІДПРИЄМСТВО ""АГЕНЦІЯ ВІДЕОРІШЕНЬ""","01033, м.Київ, Голосіївський район, ВУЛИЦЯ ВОЛОДИМИРСЬКА, будинок 61/11, квартира 50",
24798764,"ТОВ ""АГРОТЕХСЕРВІС""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АГРОТЕХСЕРВІС""","84207, Донецька обл., місто Дружківка, ВУЛИЦЯ КОСМОНАВТІВ, будинок 14",+380626730885
31463361,"ТОВ ""АЗІМУТ""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АЗІМУТ""","85013, Донецька обл., місто Добропілля, місто Білозерське, ВУЛИЦЯ МАЯКОВСЬКОГО, будинок 29, квартира 6",+38080627732425
36603177,,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АЙ ПІ МЕДІА ГРУП""","01001, м.Київ, Шевченківський район, ВУЛИЦЯ ХРЕЩАТИК, будинок 46-Б",+380674480828
40380417,"ТОВ ""АКСОН МЕДІА СЕРВІС""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АКСОН МЕДІА СЕРВІС""","93100, Луганська обл., місто Лисичанськ, ВУЛИЦЯ ІМ.В.СОСЮРИ, будинок 356",+380992902801
23477130,-,АЛЧЕВСЬКА МІСЬКА РЕДАКЦІЯ РАДІОМОВЛЕННЯ,"94213, Луганська обл., місто Алчевськ, ПРОСПЕКТ МЕТАЛУРГІВ, будинок 1, кімната 55",
33157988,"ТОВ ""АЛЬФА-ПРОСТІР""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АЛЬФА-ПРОСТІР""","89000, Закарпатська обл., Великоберезнянський район, селище міського типу Великий Березний, ВУЛИЦЯ ГОЖИКА, будинок 70",+380313521465
32582963,"ТОВ""АМІК""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АМІК""","83016, Донецька обл., місто Донецьк, Ленінський район, ВУЛИЦЯ КІРОВА, будинок 17",+380623402390
35544480,"ТОВ ""АНГЛІЙСЬКИЙ КЛУБ ТБ""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АНГЛІЙСЬКИЙ КЛУБ ТБ""","49000, Дніпропетровська обл., місто Дніпро, Бабушкінський район, ВУЛИЦЯ ШЕВЧЕНКА, будинок 59, офіс 229",+380562349349
35770823,"ТОВ ""АНИВ""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АНИВ""","98313, Автономна Республіка Крим, місто Керч, ВУЛИЦЯ ОРДЖОНІКІДЗЕ, будинок 12",+380503427561
30898097,"ТОВ ""АНТАРЕС""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АНТАРЕС""","85400, Донецька обл., місто Селидове, ВУЛ.ГОГОЛЯ,  24,  34",+380623772960
42569624,"ТОВ ""АПОСТРОФ ТВ""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АПОСТРОФ ТВ""","01001, м.Київ, Шевченківський район, ВУЛИЦЯ ВОЛОДИМИРСЬКА, будинок 10,  ВХІДНА ГРУПА №12, приміщення 1",+380673253668
35634301,"ТОВ ""АППІА""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АППІА""","01133, м.Київ, Печерський район, ВУЛИЦЯ МЕЧНІКОВА, будинок 14/1",+3802464530
41298800,"ТОВ ""АРС МАГНА ПРОДАКШН""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АРС МАГНА ПРОДАКШН""","01042, м.Київ, Печерський район, ПРОВУЛОК НОВОПЕЧЕРСЬКИЙ, будинок 5",+380443323112
19047568,"ПРАТ ""АРТК ""ГЛАС""","ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АКЦІОНЕРНА РАДІОТЕЛЕВІЗІЙНА КОМПАНІЯ ""ГЛАС""","65107, Одеська обл., місто Одеса, Приморський район, ВУЛИЦЯ КАНАТНА, будинок 83",
38673893,"ТОВ ""АРХАТ'""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АРХАТ'""","87550, Донецька обл., місто Маріуполь, Лівобережний район, ПРОСПЕКТ ПЕРЕМОГИ, будинок 117",+380629484888
31178461,"АСОЦІАЦІЯ ""УКРТЕЛЕМЕРЕЖА""","АСОЦІАЦІЯ ""УКРТЕЛЕМЕРЕЖА""","83055, Донецька обл., місто Донецьк, Ворошиловський район, ВУЛИЦЯ ЧЕЛЮСКІНЦІВ, будинок 174А",
31133609,,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АСТРАЛ КТВ""","10004, Житомирська обл., місто Житомир, Богунський район, ВУЛИЦЯ ГЕРОЇВ ДЕСАНТНИКІВ, будинок 25, квартира 9",+380412341955
22495806,"ТОВ ""БАЛІНФОРМКОМПАНІЯ""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ  ""БАЛІНФОРМКОМПАНІЯ""","66101, Одеська обл., місто Балта, ВУЛИЦЯ   ЛЮБОМИРСЬКА , будинок 199",
22034442,"КП ""ТРК ""БАХМУТ""","КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ТЕЛЕРАДІОКОМПАНІЯ ""БАХМУТ""","84511, Донецька обл., місто Бахмут, ПЛОЩА СВОБОДИ, будинок 1",
31248114,"ПРАТ ""БЕЛКОМ""","ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БЕЛКОМ""","09100, Київська обл., місто Біла Церква, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 5",
32446635,"КП ""БЕРДИЧІВСЬКА МІСЬКА РЕДАКЦІЯ РАДІОМОВЛЕННЯ""","КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""БЕРДИЧІВСЬКА МІСЬКА РЕДАКЦІЯ РАДІОМОВЛЕННЯ""","13300, Житомирська обл., місто Бердичів, ПЛОЩА ЦЕНТРАЛЬНА, будинок 1",
31436542,,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БЕРІЗКА-ТЕЛЕСИСТЕМА""","61002, Харківська обл., місто Харків, Київський район, ВУЛИЦЯ ЧЕРНИШЕВСЬКА, будинок 45-А",
37678466,"ТЗОВ ""БЕСТ-ЛІНК""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БЕСТ-ЛІНК""","80100, Львівська обл., місто Червоноград, ВУЛИЦЯ БУДІВЕЛЬНА, будинок 5А, квартира 19",+380676738140
43239883,"ТОВ  ""БЕСТ-ТВ""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ   ""БЕСТ-ТВ""","08200, Київська обл., місто Ірпінь, ВУЛИЦЯ  ПРИВОКЗАЛЬНА ПЛОЩА, будинок 3",
34421759,"ТОВ ""БЄЛНЕТ""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БЄЛНЕТ""","67600, Одеська обл., місто Біляївка, ВУЛИЦЯ НИЖНЯ, будинок 1 А",+38021693
24564256,"ТОВ ""ТЕЛЕРАДІОКОМПАНІЯ ""ГОК""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТЕЛЕРАДІОКОМПАНІЯ ""ГОК""","39800, Полтавська обл., місто Горішні Плавні, ПРОСПЕКТ ГЕРОЇВ ДНІПРА, будинок 54",+380534826114
32750275,"ПП ""СВІТОГЛЯД""","ПРИВАТНЕ ПІДПРИЄМСТВО ""СВІТОГЛЯД""","37000, Полтавська обл., Пирятинський район, місто Пирятин, ВУЛИЦЯ ЄВРОПЕЙСЬКА, будинок 152",
35776322,"ТОВ ""ЛУБНО КТБ""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЛУБНО КТБ""","37500, Полтавська обл., місто Лубни, ПРОСПЕКТ ВОЛОДИМИРСЬКИЙ, будинок 27/49, квартира 93",+380536174605
32500283,"КП МІСЬКА ТЕЛЕСТУДІЯ ""МИРГОРОД""","МІСЬКА ТЕЛЕСТУДІЯ ""МИРГОРОД""","37600, Полтавська обл., місто Миргород, ВУЛИЦЯ НЕЗАЛЕЖНОСТІ, будинок 2",
40887689,"ТОВ ""ПОЛТАВСЬКЕ ТБ""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПОЛТАВСЬКЕ ТЕЛЕБАЧЕННЯ""","36020, Полтавська обл., місто Полтава, Октябрський район, ВУЛИЦЯ СОБОРНОСТІ, будинок 26/14, квартира 87",+380993300999
36328864,"ПП ""ТЕЛЕКОМПАНІЯ СВС-ТВ""","ПРИВАТНЕ ПІДПРИЄМСТВО ""ТЕЛЕКОМПАНІЯ СВС-ТВ""","37600, Полтавська обл., місто Миргород, ВУЛИЦЯ ГОГОЛЯ, будинок 111",
22547118,"РЕДАКЦІЯ  РАДІО ""РЕЛАЙФ""","РЕДАКЦІЯ РАДІО ""РЕЛАЙФ"" РЕШЕТИЛІВСЬКОЇ МІСЬКОЇ РАДИ","38400, Полтавська обл., Решетилівський район, місто Решетилівка, ВУЛИЦЯ  ШЕВЧЕНКА, будинок 4",
21041753,"""ТЕЛЕРАДІОКОМПАНІЯ ""ЮТА-ТV""ТОВ","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТЕЛЕРАДІОКОМПАНІЯ ""ЮТА-ТV""","36020, Полтавська обл., місто Полтава, Октябрський район, ВУЛИЦЯ  ЛЕНІНА, будинок 15/32",+38074416
32996266,"ТОВ ""КРАЙ-МЕДІА""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙ-МЕДІА""","36014, Полтавська обл., місто Полтава, Київський район, ВУЛИЦЯ ХАЛТУРІНА, будинок 8, квартира 67",+380532509029
30244915,"ТОВ ""ТРК ""ПРІОРИТЕТ""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТЕЛЕРАДІОКОМПАНІЯ ""ПРІОРИТЕТ""","39601, Полтавська обл., місто Кременчук, Автозаводський район, ВУЛИЦЯ ПЕРЕЯСЛАВСЬКА, будинок 55А",+380536746782
39492269,"ТОВ ""ФАЙБЕРЛІНК""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФАЙБЕРЛІНК""","37300, Полтавська обл., місто Гадяч, ВУЛИЦЯ ПОЛТАВСЬКА, будинок 41",+380535461061
26435089," РЕДАКЦІЯ МІСЬКРАЙОННОГО РАДІОМОВЛЕННЯ ""РАДІО - ЛУБНИ""","КОМУНАЛЬНА УСТАНОВА - РЕДАКЦІЯ МІСЬКРАЙОННОГО РАДІОМОВЛЕННЯ ""РАДІО - ЛУБНИ""","37500, Полтавська обл., місто Лубни, ВУЛИЦЯ ЯРОСЛАВА МУДРОГО, будинок 33",
21059960,,"РЕДАКЦІЯ РАЙОННОГО РАДІОМОВЛЕННЯ ""ГОЛОС ЗІНЬКІВЩИНИ""","38100, Полтавська обл., Зіньківський район, місто Зіньків, ВУЛИЦЯ ВОЗДВИЖЕНСЬКА , будинок 67",
35026331,"ТОВ ""ТРК ""ІРТ-ПОЛТАВА""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТЕЛЕРАДІОКОМПАНІЯ ""ІНФОРМАЦІЙНО-РЕКЛАМНЕ ТЕЛЕБАЧЕННЯ -ПОЛТАВА""","36020, Полтавська обл., місто Полтава, Шевченківський район, ВУЛИЦЯ КОНСТИТУЦІЇ, будинок 4",+38080532606053
22528405,"РЕДАКЦІЯ МІСЬКОЇ ГАЗЕТИ ""ГРОМАДСЬКА ДУМКА""","КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""РЕДАКЦІЯ МІСЬКОЇ ГАЗЕТИ ""ГРОМАДСЬКА ДУМКА""","39800, Полтавська обл., місто Горішні Плавні, ВУЛ. МИРУ, будинок 24",
31786866,"ДП ТЕЛЕРАДІОСТУДІЯ ""ОНІКС"" ПП ""ЛАННІВСЬКИЙ ЦУКРОВИЙ ЗАВОД""","ДОЧІРНЄ ПІДПРИЄМСТВО ""ТЕЛЕРАДІОСТУДІЯ ""ОНІКС"" ПРИВАТНОГО ПІДПРИЄМСТВА  ""ЛАННІВСЬКИЙ ЦУКРОВИЙ ЗАВОД""","39541, Полтавська обл., Карлівський район, селище Ланна, ВУЛИЦЯ МИРУ, будинок 29",
39203699," ТОВ ""ОСТАННІЙ БАСТІОН""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ  ""ОСТАННІЙ БАСТІОН""","36005, Полтавська обл., місто Полтава, Подільський район, ВУЛИЦЯ 8-Й ПРОЇЗД, будинок 28/17",+380532612301
31495587,"ТОВ СТУДІЯ ""МІСТО""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СТУДІЯ ""МІСТО""","36011, Полтавська обл., місто Полтава, Шевченківський район, ПРОСПЕКТ ПЕРШОТРАВНЕВИЙ, будинок 19",+380508853
22517421,"ТРО ""КОНТАКТ"""," РАЙОННЕ ТЕЛЕРАДІООБ'ЄДНАННЯ ""КОНТАКТ""","39500, Полтавська обл., Карлівський район, місто Карлівка, ВУЛИЦЯ ЛЕНІНА, будинок 58",+380534623431
30951443,"ПП ""ТРК ""ПИРЯТИН""","ПРИВАТНЕ ПІДПРИЄМСТВО ""ТЕЛЕРАДІОКОМПАНІЯ ""ПИРЯТИН""","37000, Полтавська обл., Пирятинський район, місто Пирятин, ВУЛИЦЯ СОБОРНА, будинок 42",
21059983,"РСР ""ГО""","РЕДАКЦІЯ СЕЛИЩНОГО РАДІОМОВЛЕННЯ ""ГОЛОС ОПІШНІ"" ","38164, Полтавська обл., Зіньківський район, селище міського типу Опішня, ВУЛИЦЯ ПЕРЕМОГИ, будинок 3",
13939799,"ТОВ ТК ""ЧУМГАК""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ТЕЛЕКОМПАНІЯ ""ЧУМГАК""","39610, Полтавська обл., місто Кременчук, Автозаводський район, ПРОСПЕКТ 50 РОКІВ ЖОВТНЯ, будинок 3, квартира 112",+38045196
32334408,"ПП ""ВІЗИТ-СЕРВІС""","ПРИВАТНЕ ПІДПРИЄМСТВО ""ВІЗИТ-СЕРВІС""","39600, Полтавська обл., місто Кременчук, Автозаводський район, БУЛЬВАР ПУШКІНА,  8, офіс 2",
24566344,"ТОВ""ТРК ""ТЕТ- ПОЛТАВА""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТЕЛЕРАДІОКОМПАНІЯ ""ТЕТ-ПОЛТАВА""","36020, Полтавська обл., місто Полтава, Київський район, ВУЛИЦЯ ШВЕДСЬКА, будинок 2, кімната 323",
31712396,"ПП ""РАДІОКОМПАНІЯ ""МІСТО""","ПРИВАТНЕ ПІДПРИЄМСТВО ""РАДІОКОМПАНІЯ ""МІСТО""","37300, Полтавська обл., місто Гадяч, ВУЛИЦЯ ТЕЛЬМАНА, будинок 20, квартира 15",
39156466,"ГО ""КГТБ""","ГРОМАДСЬКА ОРГАНІЗАЦІЯ  ""КРЕМЕНЧУЦЬКЕ ГРОМАДСЬКЕ ТЕЛЕБАЧЕННЯ""","39600, Полтавська обл., місто Кременчук, Автозаводський район, ВУЛИЦЯ  ПЕРШОТРАВНЕВА, будинок 3",
24825610,РЕДАКЦІЯ ХОРОЛЬСЬКОГО РАЙОННОГО РАДІОМОВЛЕННЯ,РЕДАКЦІЯ ХОРОЛЬСЬКОГО РАЙОННОГО РАДІОМОВЛЕННЯ,"37800, Полтавська обл., Хорольський район, місто Хорол, ВУЛИЦЯ КАРЛА МАРКСА, будинок 65/20",
13932372,"ПП ""ПТК ""ВІЗИТ""","ПРИВАТНЕ ПІДПРИЄМСТВО ""ПРИВАТНА ТЕЛЕКОМПАНІЯ ""ВІЗИТ""","39600, Полтавська обл., місто Кременчук, Автозаводський район, БУЛЬВАР ПУШКІНА, будинок 8, офіс 1",
31757877,"ТОВ ТРК ""ЮВК""","ТЕЛЕРАДІОКОМПАНІЯ ""ЮВК""","37800, Полтавська обл., Хорольський район, місто Хорол, ВУЛИЦЯ КАРЛА МАРКСА, будинок 29, квартира 3",+3880536232390
30254457,,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ МІСЬКА ТЕЛЕВІЗІЙНА КОМПАНІЯ ""ЛУБНИ""","37536, Полтавська обл., Лубенський район, село Мгар, СПАСО-ПРЕОБРАЖЕНСЬКИЙ МОНАСТИР",+380536171296
32038171,"ТОВ ""ОРБІТА""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОРБІТА""","37600, Полтавська обл., місто Миргород, ВУЛИЦЯ СОРОЧИНСЬКА, будинок 20, квартира 129",+38050088
30613748,"ТОВ ""СЕТІЛАЙТ""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СЕТІЛАЙТ""","39600, Полтавська обл., місто Кременчук, Автозаводський район, ВУЛИЦЯ ЛЕНІНА, будинок 8/18",+380799946
25165311,"КП ""КТРК""","КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КРЕМЕНЧУЦЬКА МІСЬКА ТЕЛЕРАДІОКОМПАНІЯ""","39600, Полтавська обл., місто Кременчук, Автозаводський район, ВУЛИЦЯ ГЕНЕРАЛА ЖАДОВА, будинок 12",
42173570,"ЗАЧЕПИЛІВСЬКА РАДІОКОМПАНІЯ ""ОБРІЇ""","КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ЗАЧЕПИЛІВСЬКА РАДІОКОМПАНІЯ ""ОБРІЇ"" ЗАЧЕПИЛІВСЬКОЇ РАЙОННОЇ РАДИ","64401, Харківська обл., Зачепилівський район, селище міського типу Зачепилівка, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 49",
24565215,,РЕДАКЦІЯ ЧОРНУХИНСЬКОГО РАЙОННОГО РАДІОМОВЛЕННЯ,"37100, Полтавська обл., Чорнухинський район, селище міського типу Чорнухи, ВУЛИЦЯ ЛЕНІНА, будинок 39",
32032610,"ТОВ ""РАДІО СЛОБОЖАНЩІНИ""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""РАДІО СЛОБОЖАНЩІНИ""","61057, Харківська обл., місто Харків, Київський район, ВУЛИЦЯ ДОНЦЯ-ЗАХАРЖЕВСЬКОГО, будинок 6/8",+3807060193
14059592,"ПРАТ РТМК ""ТОНІС - ЦЕНТР""","ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""РЕГІОНАЛЬНА ТЕЛЕМОВНА КОМПАНІЯ ""ТОНІС - ЦЕНТР""","61057, Харківська обл., місто Харків, Дзержинський район, ВУЛИЦЯ РИМАРСЬКА, будинок 23-А",
22618019,"ТОВ""ПОБУТРАДІОТЕХНІКА ТЕЛЕКОМПАНІЯ ОРБІТА-ТВ""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПОБУТРАДІОТЕХНІКА-ТЕЛЕКОМПАНІЯ ОРБІТА-ТВ""","64102, Харківська обл., місто Первомайський, МІКРОРАЙОН-1/2, будинок 58",+380574832402
30164217,РЕДАКЦІЯ РАДІОМОВЛЕННЯ,РЕДАКЦІЯ ШЕВЧЕНКІВСЬКОГО РАЙОННОГО РАДІОМОВЛЕННЯ,"63601, Харківська обл., Шевченківський район, селище міського типу Шевченкове, ВУЛИЦЯ ЛЕРМОНТОВА, будинок 7",
23141588,"ПП ""ТРК СІАТ""","ПРИВАТНЕ ПІДПРИЄМСТВО ""ТЕЛЕРАДІОКОМПАНІЯ СІАТ""","64300, Харківська обл., місто Ізюм, ВУЛИЦЯ  ГОГОЛЯ, будинок 15",
33071513,"ТОВ ""ДАНІ - ТЕПЛОЦЕНТР""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ДАНІ - ТЕПЛОЦЕНТР""","64200, Харківська обл., Балаклійський район, місто Балаклія, ПЛОЩА ІМЕНІ В. Й. КАЗМІРУКА, будинок 11",+38080574952436
26201701,ВАЛКІВСЬКЕ РАЙОННЕ РАДІО,ВАЛКІВСЬКЕ РАЙОННЕ РАДІО,"63002, Харківська обл., Валківський район, місто Валки, ВУЛИЦЯ 1 ТРАВНЯ, будинок 1",
24343124,"ТОВ ТРК ""ВЕКТОР""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ТЕЛЕРАДІОКОМПАНІЯ ""ВЕКТОР"" ","64602, Харківська обл., місто Лозова, ВУЛИЦЯ МИХАЙЛА ГРУШЕВСЬКОГО, будинок 2",+38080574551130
25472527,"ПП ТК  ""МКТ ""ДІАЛОГ""","ПРИВАТНЕ ПІДПРИЄМСТВО ТЕЛЕКОМПАНІЯ ""МЕРЕЖА КАБЕЛЬНОГО ТЕЛЕБАЧЕННЯ ""ДІАЛОГ""","63460, Харківська обл., Зміївський район, селище міського типу Слобожанське, ВУЛИЦЯ  ЛЕРМОНТОВА, будинок 2",
30773971,,НОВОВОДОЛАЗЬКА РАДІОКОМПАНІЯ,"63202, Харківська обл., Нововодолазький район, селище міського типу Нова Водолага, ВУЛИЦЯ КООПЕРАТИВНА, будинок 4А",
34633951,"ТОВ ""МАКСНЕТ""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МАКСНЕТ""","61168, Харківська обл., місто Харків, Київський район, ВУЛИЦЯ ВАЛЕНТИНІВСЬКА, будинок 12",+380577209777
35477865,"ТОВ ""ПТК""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРОГРЕСИВНІ ТЕХНОЛОГІЇ ТА КОМУНІКАЦІЇ""","61202, Харківська обл., місто Харків, Дзержинський район, ПРОСПЕКТ ПЕРЕМОГИ, будинок 50-Б",+380577611551
32760971,"ТОВ ""ТЕЛЕРАДІОКОМПАНІЯ ""РЕГІОН""","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТЕЛЕРАДІОКОМПАНІЯ ""РЕГІОН""","61037, Харківська обл., місто Харків, Фрунзенський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247",+380577590066
